DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,TRIGGER_COUNT_30D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,COMBINED_SCORE,REPEAT_FLAG,AI_SCORE
2026-08-03,SHANKARA,,NSE,141.92,88.87,76804407.52,61310.48155917789,,,,,,,,,,,1.6803038940725186,5.672720133108434,5.605216926445506,True,True,True,1,,,,,,
2026-07-30,SHANKARA,,NSE,139.31,71.38,42196023.83,47018.3996842936,,,,,,,,,,,1.3704880262514836,3.25513972925554,4.642458571921358,True,True,True,1,,,,,,
2026-07-23,KRISHIVAL,,NSE,391.15,95.5,47894752.9,89396.88901785715,,,,,,,,,,,1.100207368928175,17.41845719742406,5.582037384652109,True,True,True,1,,,,,,
2026-07-23,VRLLOG,,NSE,241.4,88.29,177468589.6,37367.3752982717,,,,,,,,,,,1.5789610593715198,7.701492649564591,5.410549888143124,True,True,True,1,,,,,,
2026-07-21,CSLFINANCE,,NSE,214.24,96.04,23541333.92,48784.80730538922,,,,,,,,,,,1.534683046587866,4.626089952992184,4.3503211128917085,True,True,True,1,,,,,,
2026-07-21,HCG,,NSE,661.25,89.54,294780621.25,35704.6137431694,,,,,,,,,,,1.4959826242804417,3.7548269421043656,3.173285218886232,True,True,True,1,,,,,,
2026-07-20,ASHIKA,,NSE,399.7,72.05,82757485.3,134692.72233294256,,,,,,,,,,,2.055945869992866,4.8308625980370525,3.1638228635338925,True,True,True,1,,,,,,
2026-07-16,TORNTPHARM,,NSE,4987.6,66.84,16873699188.000002,186229.82389425632,,,,,,,,,,,1.238577083976753,13.747256039363748,3.5840460965507828,True,True,True,1,,,,,,
2026-07-15,HCG,,NSE,646.85,80.62,663377664.35,45978.03182295989,,,,,,,,,,,1.3716115195446623,10.32337209516738,4.462564800988451,True,True,True,1,,,,,,
2026-07-15,TVSHLTD,,NSE,14000.0,89.41,201250000.0,203030.05475763016,,,,,,,,,,,1.6662083063917257,5.881890780241973,6.050677863051233,True,True,True,1,,,,,,
2026-07-13,JKCEMENT,,NSE,5361.5,95.68,1393335897.0,259732.7845881311,,,,,,,,,,,1.788573305992047,5.647976047552032,9.740274959798729,True,True,True,1,,,,,,
2026-07-10,GROWWHOSPI,,NSE,54.3,93.33,57689731.8,62630.14146788991,,,,,,,,,,,1.310711405511568,5.03040036290648,4.772096169422374,True,True,True,1,,,,,,
2026-07-02,CEMPRO,,NSE,1431.4,58.19,1043935765.4,93976.33131992226,,,,,,,,,,,1.4146469036849316,3.5973096661203114,4.014503692673944,True,True,True,1,,,,,,
2026-08-06 00:00:00,APOLLOPIPE,,NSE,527.25,70.45,308050030.5,50317.391625,,48.190000000000005,47.07636363636364,41.58242424242425,156765471.51,56350231.809090905,55380584.381818175,22501.294014806164,15626.698202336673,15221.80364795612,1.6942254157496608,5.562419283555537,3.305612973910373,True,True,True,1,1.0,0.9733333333333334,0.96,0.9813333333333334,False,0.9733333333333334
2026-08-07 00:00:00,RPPINFRA,,NSE,57.86,97.74,41641668.42,48585.84355990784,,73.708,67.76772727272727,59.87515151515152,13730992.416,4074829.8681818186,3039879.681666666,12986.161497580628,5588.728789117282,4666.7681895327,1.6323967042532943,13.698459406514814,10.411025700587222,True,True,True,1,0.987012987012987,0.974025974025974,1.0,0.9844155844155844,False,0.9961038961038962
2026-08-11 00:00:00,STYLEBAAZA,,NSE,353.45,71.61,432668395.05,172648.48572654463,,50.0,48.79636363636364,48.109545454545454,236457217.9,215761862.1318182,124874200.18484849,32482.796352059708,31439.88947874699,22248.52969323095,1.4884780000188962,3.4648341643792766,7.759995294388934,True,True,True,1,0.9620253164556962,0.9113924050632911,0.9746835443037974,0.9443037974683545,False,0.9721518987341773
