ENTRY_DATE,SYMBOL,ENTRY_PRICE,ATR14,STOP_LOSS,TAKE_PROFIT,ENTRY_AI_PROB,ENTRY_WHALE_DENSITY,ENTRY_IMPLIED_TRADES,STATUS,EXIT_DATE,EXIT_PRICE
2026-08-21,AIRFLOA,423.1000061035156,19.792859758649552,363.72142072405137,,72.78514367806278,599.0888382687926,274.65509733509214,ACTIVE,,
2026-08-21,MRTX,341.29998779296875,19.65714372907366,282.32856881277905,,72.72880702908675,1052.6315789473683,209.8407578741116,ACTIVE,,
2026-08-20,ORICONENT,58.119998931884766,2.4378583090645924,50.80642507280622,,71.21632969158416,434.018045112782,594.201861331411,ACTIVE,,
2026-08-20,AEROPLANE,182.5599975585937,10.300714765276227,151.6578557041713,,70.44021609519919,146.11032753486916,5045.813613871206,ACTIVE,,
2026-08-25,CARBORUNIV,1106.699951171875,51.70714460100447,951.5785661969868,,74.06178375656258,22.38477913783928,7203.728467994043,ACTIVE,,
2026-08-25,REMAGNET,3953.199951171875,202.5,3345.7,,72.46480825954276,16.713389121338913,356.54830578002503,ACTIVE,,
2026-08-26,KALIND,4.190000057220459,0.3314285278320312,3.195714416503906,,69.94129073746959,15982.774399999998,624.369453007761,ACTIVE,,
2026-08-14,NOVUS,152.85,5.931,135.05,,74.5,120.5,3500.5,HIT_TP,2026-09-01,199.45
2026-08-31,SINDHUTRAD,24.979999542236328,1.184999738420759,21.425000784737723,,72.944128369752,1358.910411622276,931.8181771781012,ACTIVE,,
2026-09-01,GALAGEX,96.88999938964844,8.83714348929269,70.37856953212193,,70.17759273111223,413.6513157894737,249.8919459967649,ACTIVE,,
2026-09-02,ITCONS,299.5,23.135717119489396,230.09284864153182,,74.69767159430268,368.47826086956525,227.98443589329383,ACTIVE,,
2026-09-02,DEEDEV,643.8499755859375,30.607142857142858,552.0285714285715,,74.62477328819752,53.71020945057169,5337.724983695148,ACTIVE,,
2026-09-02,INDOTHAI,39.61000061035156,3.116428647722517,30.260714056832448,,72.43467164584348,2155.141300759326,2090.716993820959,ACTIVE,,
2026-09-02,TITANBIO,414.8500061035156,17.582146780831472,362.1035596575056,,71.85179294107675,74.83252818035426,627.2821733441367,ACTIVE,,
