DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D
2026-08-03,CONSUMBEES,,NSE,135.2,85.55,25425712.0,20752.725212543555,,,,,,,,,,,1.4939435792414788,3.4490179968559707,1.7365458632036188,True,True,True
2026-08-03,SHANKARA,,NSE,141.92,88.87,76804407.52,61310.48155917789,,,,,,,,,,,1.6803038940725186,5.672720133108434,5.605216926445506,True,True,True
2026-07-31,AGRIBIO,,BSE,316.9,60.42,6258458.1,98302.58490566038,,,,,,,,,,,1.6078608465651136,4.203697322898174,1.9472522305093456,True,True,True
2026-07-31,ANANTRAJ,,NSE,624.5,55.83,1424190985.0,58553.27783086204,,,,,,,,,,,1.5712409493676285,2.569032330967054,1.8752847185524235,True,True,True
2026-07-31,EMIL,,NSE,130.16,60.9,432944830.16,26384.55507963887,,,,,,,,,,,1.353087317457432,5.541000760058584,2.4084538666938653,True,True,True
2026-07-31,HEROMOTOCO,,NSE,5386.0,57.44,2380525824.0,70136.5727591072,,,,,,,,,,,1.1402035562185704,1.3383250205298065,1.2683038028344036,True,True,True
2026-07-31,KINETICENG,INE266B01017,BSE,267.15,100.0,9534583.5,38631.68,True,93.736,81.18636363636364,71.13742424242425,7927417.790000001,7445661.68409091,4667510.46439394,33069.0118855078,26307.115363518395,21298.596204197387,1.4057298400236844,2.042755677300454,1.8138134377319528,,,
2026-07-30,ANANTRAJ,,NSE,609.6,61.51,1131858340.8,66201.9102433055,,,,,,,,,,,1.7536101044046943,2.046945641940098,2.164187620044105,True,True,True
2026-07-30,SHANKARA,,NSE,139.31,71.38,42196023.83,47018.3996842936,,,,,,,,,,,1.3704880262514836,3.25513972925554,4.642458571921358,True,True,True
2026-07-24,PIDILITIND,,NSE,1570.9,66.57,2300546919.3,64746.52996388534,,,,,,,,,,,1.1359040318514977,2.759245124992313,1.930038002224244,True,True,True
2026-07-23,KRISHIVAL,,NSE,391.15,95.5,47894752.9,89396.88901785715,,,,,,,,,,,1.100207368928175,17.41845719742406,5.582037384652109,True,True,True
2026-07-23,PANORAMA,,BSE,50.84,82.01,27180792.56,58006.192708333336,,,,,,,,,,,2.262354283612471,4.939426796531517,2.527043849930376,True,True,True
2026-07-23,VRLLOG,,NSE,241.4,88.29,177468589.6,37367.3752982717,,,,,,,,,,,1.5789610593715198,7.701492649564591,5.410549888143124,True,True,True
2026-07-22,ANTHEM,,NSE,778.9,65.35,2247887485.3,37108.59407967902,,,,,,,,,,,1.1794448288026165,10.170927780814504,2.562880535491849,True,True,True
2026-07-21,CSLFINANCE,,NSE,214.24,96.04,23541333.92,48784.80730538922,,,,,,,,,,,1.534683046587866,4.626089952992184,4.3503211128917085,True,True,True
2026-07-21,HCG,,NSE,661.25,89.54,294780621.25,35704.6137431694,,,,,,,,,,,1.4959826242804417,3.7548269421043656,3.173285218886232,True,True,True
2026-07-21,IPCALAB,,NSE,1799.0,76.01,598692808.0,29443.4171790572,,,,,,,,,,,1.4784102697095438,2.4545535928860223,1.5788971583995175,True,True,True
2026-07-21,JSWCEMENT,,NSE,140.97,72.76,409924548.45,26714.685448478253,,,,,,,,,,,1.5085951244031166,2.5569996064189406,1.7959935089506378,True,True,True
2026-07-21,PANORAMA,,BSE,50.39,79.22,12211714.16,54012.44599303136,,,,,,,,,,,2.275624341710117,2.3569028759037978,2.432384791537955,True,True,True
2026-07-21,THERMAX,,NSE,4841.0,59.71,943118779.0,42469.88640716463,,,,,,,,,,,1.2990746936797657,1.5912120963856973,1.2570662004210882,True,True,True
2026-07-20,ASHIKA,,NSE,399.7,72.05,82757485.3,134692.72233294256,,,,,,,,,,,2.055945869992866,4.8308625980370525,3.1638228635338925,True,True,True
2026-07-20,CEMPRO,,NSE,1627.0,77.64,1246680615.0,64757.448534820745,,,,,,,,,,,1.7819104913586254,3.2842212032044205,2.221949640351273,True,True,True
2026-07-20,OFSS,,NSE,11620.0,50.72,2330832560.0,103246.66586108127,,,,,,,,,,,1.3848979794469545,2.006853383147587,1.4545209945152984,True,True,True
2026-07-20,PSUBANK,,NSE,86.47,84.42,162353132.02,137785.48671953857,,,,,,,,,,,1.3679176262048445,3.8397910412700753,2.485603694597635,True,True,True
2026-07-17,CAPITALSFB,,NSE,303.95,71.36,40637203.15,22367.507510899723,,,,,,,,,,,1.197766090556748,4.794085115823623,2.164175894190339,True,True,True
2026-07-17,JSWCEMENT,,NSE,139.93,83.68,933725743.58,43789.38128383905,,,,,,,,,,,1.7531616638732288,6.305404200684512,3.044580283041644,True,True,True
2026-07-16,DLF,,NSE,648.1,62.47,2607702289.1,65167.07330770543,,,,,,,,,,,1.3748624477301374,2.071561711514732,1.4386632373642103,True,True,True
2026-07-16,STOVEKRAFT,,NSE,777.55,71.39,137675335.65,24211.0222605316,,,,,,,,,,,1.6015105062439243,2.380154103406676,1.5010265025954834,True,True,True
2026-07-16,TORNTPHARM,,NSE,4987.6,66.84,16873699188.000002,186229.82389425632,,,,,,,,,,,1.238577083976753,13.747256039363748,3.5840460965507828,True,True,True
2026-07-15,ALKEM,,NSE,5659.0,75.36,909299438.0,74587.43576023754,,,,,,,,,,,1.516126770652661,2.078070535590484,2.133247031552691,True,True,True
2026-07-15,BBNPPGOLD,,NSE,136.5,84.38,12553632.0,66439.72901785714,,,,,,,,,,,1.1630891069258047,3.481984628091148,1.8189154635418248,True,True,True
2026-07-15,ENDURANCE,,NSE,2746.2,72.28,622722819.5999999,36551.78288191612,,,,,,,,,,,1.306715898694511,3.396203979910698,1.969328175247331,True,True,True
2026-07-15,ETERNAL,,NSE,294.8,57.84,7693985494.8,90905.345089089,,,,,,,,,,,1.1483336491864526,1.6527187838839132,2.002899626754707,True,True,True
2026-07-15,HCG,,NSE,646.85,80.62,663377664.35,45978.03182295989,,,,,,,,,,,1.3716115195446623,10.32337209516738,4.462564800988451,True,True,True
2026-07-15,JBCHEPHARM,,NSE,2506.0,75.34,1354949092.0,45606.48349321359,,,,,,,,,,,1.2472508728980214,2.963616807694804,1.4870703787734147,True,True,True
2026-07-15,PANORAMA,,BSE,51.25,80.35,13838115.0,54526.7770700637,,,,,,,,,,,2.4085840808447823,2.9622771928491387,2.541005650610207,True,True,True
2026-07-15,RHL,,NSE,179.21,91.03,8528962.32,44963.91038647343,,,,,,,,,,,1.1166584887144255,7.924406425379429,3.157281667493772,True,True,True
2026-07-15,TVSHLTD,,NSE,14000.0,89.41,201250000.0,203030.05475763016,,,,,,,,,,,1.6662083063917257,5.881890780241973,6.050677863051233,True,True,True
2026-07-14,BAJAJFINSV,,NSE,1869.2,66.05,2237013699.2000003,45730.3388250818,,,,,,,,,,,1.2191834074935883,1.9409987290450104,1.4297737262875727,True,True,True
2026-07-14,ESILVER,,NSE,217.72,95.12,110938137.4,59440.24911314985,,,,,,,,,,,1.705178070880685,3.511816386307764,2.6968644642583124,True,True,True
2026-07-14,ETERNAL,,NSE,286.15,64.06,7876337410.749999,80040.54712334178,,,,,,,,,,,1.278468725903751,1.7113641747797492,1.791813151472313,True,True,True
2026-07-13,DLF,,NSE,682.35,54.43,2591789110.8,67068.42617880205,,,,,,,,,,,1.197675581604689,2.004040291904569,1.5005263790862668,True,True,True
2026-07-13,GROWWHOSPI,,NSE,54.14,90.04,75675159.52,44023.80609129066,,,,,,,,,,,1.25429839039896,6.160652931130887,3.1578348009245825,True,True,True
2026-07-13,JKCEMENT,,NSE,5361.5,95.68,1393335897.0,259732.7845881311,,,,,,,,,,,1.788573305992047,5.647976047552032,9.740274959798729,True,True,True
2026-07-13,PANORAMA,,BSE,51.16,67.94,13831975.72,43243.35456475584,,,,,,,,,,,2.0298223694931825,3.100220756731141,2.0820563221649544,True,True,True
2026-07-13,TBOTEK,,NSE,1504.1,64.81,445738530.9,35840.39705607476,,,,,,,,,,,1.3344418689536193,3.750814022525472,2.429948685173624,True,True,True
2026-07-13,TORNTPHARM,,NSE,4951.1,64.22,2429108682.0,77634.22818049011,,,,,,,,,,,1.2011664451478887,2.0987053626406267,1.527459062800577,True,True,True
2026-07-10,GROWWHOSPI,,NSE,54.3,93.33,57689731.8,62630.14146788991,,,,,,,,,,,1.310711405511568,5.03040036290648,4.772096169422374,True,True,True
2026-07-10,HDFCPSUBK,,NSE,85.41,82.01,293256089.1,257727.34885672937,,,,,,,,,,,1.255086282457369,18.85808470059592,11.988789475554942,True,True,True
2026-07-10,INDIQUBE,,NSE,178.11,88.9,136356563.25,26035.10343899931,,,,,,,,,,,1.535510345080264,10.079448990863057,2.63610473556481,True,True,True
